sales_id,date,shop,product category,product name,quantity,price,is_returned
D-20250601-0038,06/01/2025 03:03 PM,Shop D,Beverages,Bottled Water,2,2,False
A-20250601-0039,06/01/2025 03:43 PM,Shop A,Clothing,Beach Shorts,4,30,False
D-20250601-0040,06/01/2025 03:45 PM,Shop D,Clothing,Swimsuit,5,50,False
A-20250601-0041,06/01/2025 03:47 PM,Shop A,Accessories,Sunglasses,1,25,False
D-20250601-0042,06/01/2025 03:49 PM,Shop D,Accessories,Sunglasses,1,25,False
C-20250601-0043,06/01/2025 04:29 PM,Shop C,Footwear,Sandals,3,40,False
B-20250601-0044,06/01/2025 05:06 PM,Shop B,Skincare,Sunscreen,2,10,False
B-20250601-0045,06/01/2025 05:09 PM,Shop B,Beverages,Bottled Water,1,2,False
B-20250601-0046,06/01/2025 05:13 PM,Shop B,Beverages,Bottled Water,1,2,False
E-20250601-0047,06/01/2025 05:25 PM,Shop E,Skincare,Sunscreen,1,10,False
B-20250601-0048,06/01/2025 05:33 PM,Shop B,Footwear,Sandals,1,40,False
D-20250601-0049,06/01/2025 06:10 PM,Shop D,Clothing,T-Shirt,3,20,False
D-20250601-0050,06/01/2025 06:11 PM,Shop D,Souvenir,Florida Magnet,1,5,False
D-20250601-0051,06/01/2025 06:40 PM,Shop D,Clothing,Beach Shorts,4,30,False
C-20250601-0052,06/01/2025 06:45 PM,Shop C,Clothing,T-Shirt,2,20,False
B-20250601-0053,06/01/2025 06:47 PM,Shop B,Clothing,Swimsuit,1,50,True
C-20250601-0054,06/01/2025 06:49 PM,Shop C,Souvenir,Florida Magnet,1,5,False
D-20250602-0001,06/02/2025 08:00 AM,Shop D,Souvenir,Florida Magnet,3,5,False
E-20250602-0002,06/02/2025 08:07 AM,Shop E,Beverages,Bottled Water,2,2,False
B-20250602-0003,06/02/2025 08:22 AM,Shop B,Accessories,Beach Hat,1,15,True
D-20250602-0004,06/02/2025 08:38 AM,Shop D,Skincare,Sunscreen,1,10,False
A-20250602-0005,06/02/2025 08:50 AM,Shop A,Clothing,T-Shirt,1,20,False
B-20250602-0006,06/02/2025 09:08 AM,Shop B,Clothing,Beach Shorts,1,30,True
C-20250602-0007,06/02/2025 09:29 AM,Shop C,Clothing,T-Shirt,2,20,False
C-20250602-0008,06/02/2025 10:12 AM,Shop C,Skincare,Sunscreen,4,10,False
C-20250602-0009,06/02/2025 10:13 AM,Shop C,Beverages,Bottled Water,1,2,False
D-20250602-0010,06/02/2025 10:24 AM,Shop D,Clothing,Swimsuit,1,50,False
D-20250602-0011,06/02/2025 10:29 AM,Shop D,Accessories,Sunglasses,1,25,False
D-20250602-0012,06/02/2025 10:41 AM,Shop D,Clothing,Beach Shorts,3,30,False
C-20250602-0013,06/02/2025 11:35 AM,Shop C,Footwear,Sandals,10,40,False
C-20250602-0014,06/02/2025 11:39 AM,Shop C,Souvenir,Florida Magnet,1,5,True
D-20250602-0015,06/02/2025 11:49 AM,Shop D,Accessories,Sunglasses,3,25,False
D-20250602-0016,06/02/2025 11:54 AM,Shop D,Clothing,T-Shirt,2,20,False
A-20250602-0017,06/02/2025 12:21 PM,Shop A,Clothing,Beach Shorts,1,30,False
A-20250602-0018,06/02/2025 12:31 PM,Shop A,Kids,Inflatable Ring,1,15,False
A-20250602-0019,06/02/2025 12:33 PM,Shop A,Beverages,Bottled Water,2,2,False
A-20250602-0020,06/02/2025 12:37 PM,Shop A,Footwear,Sandals,10,40,True
C-20250602-0021,06/02/2025 12:58 PM,Shop C,Clothing,Swimsuit,2,50,False
A-20250602-0022,06/02/2025 12:59 PM,Shop A,Accessories,Sunglasses,2,25,True
C-20250602-0023,06/02/2025 01:15 PM,Shop C,Accessories,Sunglasses,3,25,False
D-20250602-0024,06/02/2025 01:41 PM,Shop D,Accessories,Beach Bag,2,35,False
A-20250602-0025,06/02/2025 01:45 PM,Shop A,Skincare,Sunscreen,1,10,False
C-20250602-0026,06/02/2025 02:23 PM,Shop C,Beverages,Bottled Water,1,2,False
D-20250602-0027,06/02/2025 02:34 PM,Shop D,Footwear,Sandals,3,40,False
C-20250602-0028,06/02/2025 02:44 PM,Shop C,Clothing,Beach Shorts,2,30,True
C-20250602-0029,06/02/2025 02:46 PM,Shop C,Accessories,Sunglasses,1,25,False
A-20250602-0030,06/02/2025 02:49 PM,Shop A,Souvenir,Florida Magnet,1,5,False
D-20250602-0031,06/02/2025 03:02 PM,Shop D,Beverages,Bottled Water,10,2,False
D-20250602-0032,06/02/2025 03:11 PM,Shop D,Kids,Inflatable Ring,1,15,False
A-20250602-0033,06/02/2025 03:49 PM,Shop A,Accessories,Beach Bag,1,35,False
B-20250602-0034,06/02/2025 03:53 PM,Shop B,Accessories,Sunglasses,1,25,False
B-20250602-0035,06/02/2025 04:16 PM,Shop B,Souvenir,Florida Magnet,2,5,False
A-20250602-0036,06/02/2025 04:25 PM,Shop A,Clothing,Swimsuit,4,50,True
D-20250602-0037,06/02/2025 04:36 PM,Shop D,Accessories,Beach Hat,3,15,False
E-20250602-0038,06/02/2025 04:51 PM,Shop E,Clothing,T-Shirt,1,20,True
E-20250602-0039,06/02/2025 04:52 PM,Shop E,Souvenir,Florida Magnet,1,5,False
A-20250602-0040,06/02/2025 05:31 PM,Shop A,Accessories,Beach Hat,1,15,False
B-20250602-0041,06/02/2025 06:58 PM,Shop B,Skincare,Sunscreen,1,10,False
C-20250602-0042,06/02/2025 07:15 PM,Shop C,Accessories,Beach Bag,1,35,False
E-20250603-0001,06/03/2025 08:27 AM,Shop E,Clothing,T-Shirt,1,20,True
B-20250603-0002,06/03/2025 08:33 AM,Shop B,Accessories,Sunglasses,1,25,False
E-20250603-0003,06/03/2025 08:33 AM,Shop E,Footwear,Sandals,1,40,False
B-20250603-0004,06/03/2025 08:35 AM,Shop B,Accessories,Beach Hat,1,15,False
C-20250603-0005,06/03/2025 09:08 AM,Shop C,Souvenir,Florida Magnet,5,5,False
A-20250603-0006,06/03/2025 10:52 AM,Shop A,Beverages,Bottled Water,2,2,False
C-20250603-0007,06/03/2025 11:50 AM,Shop C,Beverages,Bottled Water,1,2,False
A-20250603-0008,06/03/2025 12:24 PM,Shop A,Clothing,Beach Shorts,9,30,False
D-20250603-0009,06/03/2025 12:33 PM,Shop D,Kids,Inflatable Ring,2,15,True
B-20250603-0010,06/03/2025 02:28 PM,Shop B,Skincare,Sunscreen,2,10,False
D-20250603-0011,06/03/2025 02:41 PM,Shop D,Accessories,Beach Bag,1,35,False
A-20250603-0012,06/03/2025 03:11 PM,Shop A,Accessories,Sunglasses,2,25,False
A-20250603-0013,06/03/2025 03:14 PM,Shop A,Skincare,Sunscreen,2,10,False
D-20250603-0014,06/03/2025 03:16 PM,Shop D,Accessories,Sunglasses,2,25,True
C-20250603-0015,06/03/2025 03:34 PM,Shop C,Skincare,Sunscreen,2,10,False
D-20250603-0016,06/03/2025 03:36 PM,Shop D,Footwear,Sandals,4,40,False
D-20250603-0017,06/03/2025 04:27 PM,Shop D,Beverages,Bottled Water,4,2,False
A-20250603-0018,06/03/2025 05:17 PM,Shop A,Clothing,T-Shirt,1,20,True
E-20250603-0019,06/03/2025 05:39 PM,Shop E,Accessories,Beach Hat,1,15,False
D-20250603-0020,06/03/2025 07:06 PM,Shop D,Clothing,T-Shirt,5,20,False
D-20250603-0021,06/03/2025 07:08 PM,Shop D,Souvenir,Florida Magnet,1,5,False
B-20250604-0001,06/04/2025 08:41 AM,Shop B,Accessories,Sunglasses,1,25,False
E-20250604-0002,06/04/2025 09:35 AM,Shop E,Souvenir,Florida Magnet,1,5,False
A-20250604-0003,06/04/2025 10:09 AM,Shop A,Skincare,Sunscreen,2,10,False
C-20250604-0004,06/04/2025 10:10 AM,Shop C,Footwear,Sandals,1,40,False
B-20250604-0005,06/04/2025 10:24 AM,Shop B,Footwear,Sandals,2,40,False
E-20250604-0006,06/04/2025 10:41 AM,Shop E,Clothing,Beach Shorts,1,30,False
B-20250604-0007,06/04/2025 10:44 AM,Shop B,Clothing,T-Shirt,1,20,False
E-20250604-0008,06/04/2025 10:45 AM,Shop E,Accessories,Sunglasses,1,25,False
D-20250604-0009,06/04/2025 11:13 AM,Shop D,Kids,Inflatable Ring,1,15,False
C-20250604-0010,06/04/2025 11:31 AM,Shop C,Kids,Inflatable Ring,1,15,False
C-20250604-0011,06/04/2025 11:34 AM,Shop C,Skincare,Sunscreen,1,10,False
C-20250604-0012,06/04/2025 11:36 AM,Shop C,Clothing,Swimsuit,3,50,False
A-20250604-0013,06/04/2025 11:42 AM,Shop A,Clothing,T-Shirt,2,20,False
D-20250604-0014,06/04/2025 11:57 AM,Shop D,Footwear,Sandals,9,40,False
A-20250604-0015,06/04/2025 12:18 PM,Shop A,Footwear,Sandals,3,40,False
D-20250604-0016,06/04/2025 12:29 PM,Shop D,Accessories,Beach Bag,1,35,False
D-20250604-0017,06/04/2025 12:30 PM,Shop D,Accessories,Beach Hat,1,15,False
B-20250604-0018,06/04/2025 12:48 PM,Shop B,Beverages,Bottled Water,4,2,False
A-20250604-0019,06/04/2025 12:52 PM,Shop A,Accessories,Beach Hat,2,15,False
D-20250604-0020,06/04/2025 12:59 PM,Shop D,Accessories,Beach Hat,1,15,False
C-20250604-0021,06/04/2025 01:03 PM,Shop C,Accessories,Sunglasses,4,25,False
E-20250604-0022,06/04/2025 01:27 PM,Shop E,Footwear,Sandals,1,40,False
D-20250604-0023,06/04/2025 01:43 PM,Shop D,Skincare,Sunscreen,1,10,False
A-20250604-0024,06/04/2025 01:44 PM,Shop A,Accessories,Beach Bag,1,35,False
B-20250604-0025,06/04/2025 01:48 PM,Shop B,Clothing,Beach Shorts,1,30,False
D-20250604-0026,06/04/2025 02:23 PM,Shop D,Beverages,Bottled Water,3,2,False
A-20250604-0027,06/04/2025 02:24 PM,Shop A,Souvenir,Florida Magnet,1,5,False
D-20250604-0028,06/04/2025 02:45 PM,Shop D,Souvenir,Florida Magnet,1,5,False
C-20250604-0029,06/04/2025 02:46 PM,Shop C,Beverages,Bottled Water,6,2,False
C-20250604-0030,06/04/2025 02:50 PM,Shop C,Accessories,Beach Hat,1,15,False
A-20250604-0031,06/04/2025 03:04 PM,Shop A,Kids,Inflatable Ring,1,15,False
D-20250604-0032,06/04/2025 03:08 PM,Shop D,Clothing,Beach Shorts,2,30,False
D-20250604-0033,06/04/2025 03:12 PM,Shop D,Clothing,Swimsuit,1,50,False
A-20250604-0034,06/04/2025 03:16 PM,Shop A,Clothing,Swimsuit,1,50,False
A-20250604-0035,06/04/2025 03:20 PM,Shop A,Accessories,Sunglasses,1,25,False
C-20250604-0036,06/04/2025 03:45 PM,Shop C,Skincare,Sunscreen,1,10,False
D-20250604-0037,06/04/2025 03:46 PM,Shop D,Accessories,Sunglasses,1,25,False
C-20250604-0038,06/04/2025 03:50 PM,Shop C,Beverages,Bottled Water,1,2,False
D-20250604-0039,06/04/2025 03:50 PM,Shop D,Accessories,Beach Hat,1,15,False
C-20250604-0040,06/04/2025 03:55 PM,Shop C,Souvenir,Florida Magnet,2,5,False
C-20250604-0041,06/04/2025 04:36 PM,Shop C,Clothing,Beach Shorts,1,30,False
D-20250604-0042,06/04/2025 05:34 PM,Shop D,Clothing,T-Shirt,1,20,False
A-20250604-0043,06/04/2025 05:47 PM,Shop A,Beverages,Bottled Water,6,2,False
A-20250604-0044,06/04/2025 06:05 PM,Shop A,Accessories,Sunglasses,1,25,False
B-20250604-0045,06/04/2025 06:15 PM,Shop B,Skincare,Sunscreen,1,10,False
A-20250604-0046,06/04/2025 07:03 PM,Shop A,Clothing,Beach Shorts,1,30,False
A-20250604-0047,06/04/2025 07:06 PM,Shop A,Accessories,Sunglasses,1,25,False
B-20250604-0048,06/04/2025 07:30 PM,Shop B,Accessories,Beach Hat,1,15,False
A-20250605-0001,06/05/2025 08:06 AM,Shop A,Clothing,Swimsuit,1,50,False
E-20250605-0002,06/05/2025 08:15 AM,Shop E,Accessories,Beach Hat,1,15,False
B-20250605-0003,06/05/2025 09:14 AM,Shop B,Footwear,Sandals,4,40,False
A-20250605-0004,06/05/2025 10:07 AM,Shop A,Kids,Inflatable Ring,2,15,False
D-20250605-0005,06/05/2025 11:00 AM,Shop D,Accessories,Sunglasses,1,25,False
D-20250605-0006,06/05/2025 11:41 AM,Shop D,Accessories,Beach Hat,3,15,False
C-20250605-0007,06/05/2025 01:38 PM,Shop C,Clothing,Swimsuit,1,50,False
A-20250605-0008,06/05/2025 01:41 PM,Shop A,Skincare,Sunscreen,3,10,False
C-20250605-0009,06/05/2025 02:55 PM,Shop C,Footwear,Sandals,3,40,False
C-20250605-0010,06/05/2025 03:55 PM,Shop C,Clothing,T-Shirt,4,20,False
D-20250605-0011,06/05/2025 04:26 PM,Shop D,Clothing,Beach Shorts,1,30,False
D-20250605-0012,06/05/2025 05:28 PM,Shop D,Footwear,Sandals,5,40,False
A-20250605-0013,06/05/2025 07:39 PM,Shop A,Clothing,T-Shirt,4,20,False
A-20250606-0001,06/06/2025 11:47 AM,Shop A,Beverages,Bottled Water,1,2,False
B-20250606-0002,06/06/2025 12:10 PM,Shop B,Clothing,Swimsuit,3,50,False
D-20250606-0003,06/06/2025 02:02 PM,Shop D,Skincare,Sunscreen,1,10,False
D-20250606-0004,06/06/2025 02:04 PM,Shop D,Beverages,Bottled Water,1,2,False
A-20250606-0005,06/06/2025 03:00 PM,Shop A,Accessories,Beach Hat,2,15,False
B-20250607-0001,06/07/2025 08:06 AM,Shop B,Footwear,Sandals,3,40,False
E-20250607-0002,06/07/2025 08:13 AM,Shop E,Souvenir,Florida Magnet,1,5,False
B-20250607-0003,06/07/2025 08:38 AM,Shop B,Souvenir,Florida Magnet,1,5,False
C-20250607-0004,06/07/2025 09:41 AM,Shop C,Kids,Inflatable Ring,2,15,False
D-20250607-0005,06/07/2025 09:50 AM,Shop D,Accessories,Beach Hat,4,15,False
D-20250607-0006,06/07/2025 10:01 AM,Shop D,Clothing,Swimsuit,3,50,False
D-20250607-0007,06/07/2025 10:11 AM,Shop D,Footwear,Sandals,3,40,False
A-20250607-0008,06/07/2025 10:12 AM,Shop A,Souvenir,Florida Magnet,4,5,False
E-20250607-0009,06/07/2025 10:24 AM,Shop E,Kids,Inflatable Ring,2,15,False
A-20250607-0010,06/07/2025 10:28 AM,Shop A,Clothing,Swimsuit,4,50,False
C-20250607-0011,06/07/2025 10:42 AM,Shop C,Clothing,T-Shirt,2,20,True
A-20250607-0012,06/07/2025 10:59 AM,Shop A,Beverages,Bottled Water,3,2,False
C-20250607-0013,06/07/2025 11:19 AM,Shop C,Beverages,Bottled Water,2,2,False
A-20250607-0014,06/07/2025 12:12 PM,Shop A,Footwear,Sandals,4,40,False
A-20250607-0015,06/07/2025 12:39 PM,Shop A,Skincare,Sunscreen,4,10,False
D-20250607-0016,06/07/2025 12:52 PM,Shop D,Skincare,Sunscreen,4,10,False
D-20250607-0017,06/07/2025 01:13 PM,Shop D,Clothing,Beach Shorts,5,30,False
D-20250607-0018,06/07/2025 01:15 PM,Shop D,Accessories,Sunglasses,1,25,False
D-20250607-0019,06/07/2025 01:26 PM,Shop D,Kids,Inflatable Ring,4,15,False
C-20250607-0020,06/07/2025 01:33 PM,Shop C,Skincare,Sunscreen,3,10,False
D-20250607-0021,06/07/2025 01:42 PM,Shop D,Accessories,Sunglasses,3,25,False
A-20250607-0022,06/07/2025 01:45 PM,Shop A,Clothing,Beach Shorts,4,30,False
A-20250607-0023,06/07/2025 02:21 PM,Shop A,Accessories,Beach Hat,2,15,False
C-20250607-0024,06/07/2025 02:32 PM,Shop C,Footwear,Sandals,3,40,False
D-20250607-0025,06/07/2025 02:49 PM,Shop D,Accessories,Beach Bag,7,35,False
D-20250607-0026,06/07/2025 02:53 PM,Shop D,Accessories,Beach Hat,1,15,False
E-20250607-0027,06/07/2025 02:57 PM,Shop E,Clothing,T-Shirt,4,20,False
D-20250607-0028,06/07/2025 03:07 PM,Shop D,Clothing,T-Shirt,4,20,False
C-20250607-0029,06/07/2025 03:09 PM,Shop C,Accessories,Sunglasses,7,25,False
D-20250607-0030,06/07/2025 03:11 PM,Shop D,Souvenir,Florida Magnet,4,5,False
C-20250607-0031,06/07/2025 03:12 PM,Shop C,Accessories,Beach Hat,1,15,False
C-20250607-0032,06/07/2025 03:19 PM,Shop C,Clothing,Swimsuit,2,50,False
E-20250607-0033,06/07/2025 03:28 PM,Shop E,Beverages,Bottled Water,2,2,False
C-20250607-0034,06/07/2025 03:32 PM,Shop C,Clothing,Beach Shorts,4,30,False
A-20250607-0035,06/07/2025 03:33 PM,Shop A,Clothing,T-Shirt,4,20,False
A-20250607-0036,06/07/2025 03:37 PM,Shop A,Souvenir,Florida Magnet,1,5,False
C-20250607-0037,06/07/2025 03:37 PM,Shop C,Souvenir,Florida Magnet,3,5,False
B-20250607-0038,06/07/2025 03:38 PM,Shop B,Skincare,Sunscreen,1,10,False
A-20250607-0039,06/07/2025 03:43 PM,Shop A,Kids,Inflatable Ring,5,15,False
A-20250607-0040,06/07/2025 03:46 PM,Shop A,Skincare,Sunscreen,1,10,False
A-20250607-0041,06/07/2025 03:48 PM,Shop A,Accessories,Sunglasses,5,25,False
B-20250607-0042,06/07/2025 04:03 PM,Shop B,Clothing,Swimsuit,3,50,True
D-20250607-0043,06/07/2025 04:35 PM,Shop D,Beverages,Bottled Water,3,2,False
E-20250607-0044,06/07/2025 04:39 PM,Shop E,Footwear,Sandals,1,40,False
E-20250607-0045,06/07/2025 04:45 PM,Shop E,Skincare,Sunscreen,2,10,False
E-20250607-0046,06/07/2025 04:50 PM,Shop E,Beverages,Bottled Water,1,2,False
E-20250607-0047,06/07/2025 06:07 PM,Shop E,Clothing,Beach Shorts,1,30,False
E-20250607-0048,06/07/2025 06:09 PM,Shop E,Accessories,Sunglasses,1,25,False
E-20250607-0049,06/07/2025 06:42 PM,Shop E,Accessories,Beach Hat,1,15,False
A-20250607-0050,06/07/2025 07:20 PM,Shop A,Accessories,Beach Bag,4,35,False
A-20250607-0051,06/07/2025 07:25 PM,Shop A,Accessories,Beach Hat,1,15,False
B-20250607-0052,06/07/2025 07:26 PM,Shop B,Beverages,Bottled Water,3,2,False
C-20250607-0053,06/07/2025 07:32 PM,Shop C,Accessories,Beach Hat,6,15,False
B-20250607-0054,06/07/2025 07:44 PM,Shop B,Clothing,Beach Shorts,1,30,True
B-20250607-0055,06/07/2025 07:46 PM,Shop B,Accessories,Sunglasses,1,25,False
A-20250608-0001,06/08/2025 09:46 AM,Shop A,Clothing,T-Shirt,2,20,False
C-20250608-0002,06/08/2025 10:02 AM,Shop C,Accessories,Beach Hat,4,15,False
C-20250608-0003,06/08/2025 10:11 AM,Shop C,Footwear,Sandals,6,40,False
C-20250608-0004,06/08/2025 10:51 AM,Shop C,Kids,Inflatable Ring,2,15,False
C-20250608-0005,06/08/2025 11:04 AM,Shop C,Clothing,Beach Shorts,2,30,False
D-20250608-0006,06/08/2025 11:16 AM,Shop D,Skincare,Sunscreen,3,10,False
E-20250608-0007,06/08/2025 11:49 AM,Shop E,Clothing,T-Shirt,2,20,False
A-20250608-0008,06/08/2025 11:58 AM,Shop A,Accessories,Beach Hat,3,15,False
D-20250608-0009,06/08/2025 12:00 PM,Shop D,Accessories,Sunglasses,2,25,False
C-20250608-0010,06/08/2025 12:25 PM,Shop C,Beverages,Bottled Water,4,2,False
D-20250608-0011,06/08/2025 12:31 PM,Shop D,Accessories,Beach Hat,2,15,False
C-20250608-0012,06/08/2025 12:38 PM,Shop C,Clothing,Swimsuit,3,50,False
A-20250608-0013,06/08/2025 01:05 PM,Shop A,Footwear,Sandals,4,40,False
D-20250608-0014,06/08/2025 01:15 PM,Shop D,Beverages,Bottled Water,2,2,False
A-20250608-0015,06/08/2025 01:25 PM,Shop A,Accessories,Beach Bag,2,35,False
C-20250608-0016,06/08/2025 01:35 PM,Shop C,Outerwear,Light Jacket,4,60,False
E-20250608-0017,06/08/2025 01:41 PM,Shop E,Accessories,Sunglasses,1,25,False
D-20250608-0018,06/08/2025 02:00 PM,Shop D,Souvenir,Florida Magnet,3,5,True
D-20250608-0019,06/08/2025 02:01 PM,Shop D,Clothing,T-Shirt,4,20,False
D-20250608-0020,06/08/2025 02:06 PM,Shop D,Souvenir,Florida Magnet,1,5,False
B-20250608-0021,06/08/2025 02:20 PM,Shop B,Beverages,Bottled Water,4,2,False
A-20250608-0022,06/08/2025 02:23 PM,Shop A,Clothing,Beach Shorts,4,30,False
A-20250608-0023,06/08/2025 02:23 PM,Shop A,Souvenir,Florida Magnet,2,5,False
D-20250608-0024,06/08/2025 02:47 PM,Shop D,Kids,Inflatable Ring,5,15,False
C-20250608-0025,06/08/2025 02:50 PM,Shop C,Accessories,Sunglasses,2,25,False
D-20250608-0026,06/08/2025 02:52 PM,Shop D,Footwear,Sandals,2,40,False
D-20250608-0027,06/08/2025 02:52 PM,Shop D,Skincare,Sunscreen,1,10,False
A-20250608-0028,06/08/2025 02:53 PM,Shop A,Skincare,Sunscreen,4,10,False
C-20250608-0029,06/08/2025 02:53 PM,Shop C,Accessories,Beach Hat,1,15,False
D-20250608-0030,06/08/2025 02:57 PM,Shop D,Clothing,Beach Shorts,2,30,False
A-20250608-0031,06/08/2025 02:58 PM,Shop A,Beverages,Bottled Water,1,2,False
A-20250608-0032,06/08/2025 03:10 PM,Shop A,Kids,Inflatable Ring,12,15,False
D-20250608-0033,06/08/2025 03:18 PM,Shop D,Accessories,Beach Bag,4,35,False
D-20250608-0034,06/08/2025 03:21 PM,Shop D,Accessories,Beach Hat,1,15,False
E-20250608-0035,06/08/2025 03:21 PM,Shop E,Skincare,Sunscreen,1,10,False
E-20250608-0036,06/08/2025 03:22 PM,Shop E,Beverages,Bottled Water,1,2,False
C-20250608-0037,06/08/2025 03:23 PM,Shop C,Souvenir,Florida Magnet,4,5,False
C-20250608-0038,06/08/2025 03:42 PM,Shop C,Skincare,Sunscreen,4,10,False
D-20250608-0039,06/08/2025 03:50 PM,Shop D,Clothing,Swimsuit,5,50,False
A-20250608-0040,06/08/2025 05:47 PM,Shop A,Beverages,Bottled Water,3,2,False
A-20250608-0041,06/08/2025 06:19 PM,Shop A,Accessories,Sunglasses,7,25,False
A-20250608-0042,06/08/2025 06:21 PM,Shop A,Accessories,Beach Hat,1,15,False
A-20250608-0043,06/08/2025 06:29 PM,Shop A,Clothing,Swimsuit,4,50,False
E-20250608-0044,06/08/2025 06:47 PM,Shop E,Beverages,Bottled Water,1,2,False
B-20250608-0045,06/08/2025 07:43 PM,Shop B,Footwear,Sandals,1,40,True
D-20250609-0001,06/09/2025 11:38 AM,Shop D,Kids,Inflatable Ring,2,15,False
A-20250609-0002,06/09/2025 12:00 PM,Shop A,Clothing,Beach Shorts,1,30,False
A-20250609-0003,06/09/2025 12:02 PM,Shop A,Accessories,Sunglasses,1,25,False
D-20250609-0004,06/09/2025 12:09 PM,Shop D,Skincare,Sunscreen,2,10,False
D-20250609-0005,06/09/2025 12:12 PM,Shop D,Beverages,Bottled Water,1,2,False
C-20250609-0006,06/09/2025 03:20 PM,Shop C,Skincare,Sunscreen,3,10,False
A-20250609-0007,06/09/2025 03:22 PM,Shop A,Souvenir,Florida Magnet,6,5,False
E-20250609-0008,06/09/2025 05:11 PM,Shop E,Clothing,Swimsuit,1,50,False
E-20250610-0001,06/10/2025 09:13 AM,Shop E,Souvenir,Florida Magnet,3,5,False
D-20250610-0002,06/10/2025 09:57 AM,Shop D,Kids,Inflatable Ring,3,15,False
A-20250610-0003,06/10/2025 10:07 AM,Shop A,Souvenir,Florida Magnet,10,5,False
A-20250610-0004,06/10/2025 10:09 AM,Shop A,Footwear,Sandals,1,40,False
A-20250610-0005,06/10/2025 10:12 AM,Shop A,Clothing,Beach Shorts,1,30,True
A-20250610-0006,06/10/2025 10:17 AM,Shop A,Accessories,Sunglasses,1,25,False
E-20250610-0007,06/10/2025 10:17 AM,Shop E,Accessories,Sunglasses,2,25,False
E-20250610-0008,06/10/2025 10:18 AM,Shop E,Accessories,Beach Hat,1,15,False
B-20250610-0009,06/10/2025 10:28 AM,Shop B,Footwear,Sandals,10,40,False
C-20250610-0010,06/10/2025 10:29 AM,Shop C,Skincare,Sunscreen,1,10,False
C-20250610-0011,06/10/2025 10:49 AM,Shop C,Accessories,Beach Bag,2,35,False
